"","Player","Country.x","Bat_pc1","Country.y","Ball_pc1"
"221","Nurul Hasan","Overseas",1.04527273516729,"Overseas",NA
"222","OC McCoy","Overseas",-2.07370288888823,"Overseas",3.70788707968971
"223","OF Smith","Overseas",-0.0262211155117321,"Overseas",4.74532592082673
"224","OJ Hairs","Overseas",-2.36672121128817,"Overseas",NA
"225","OP Stone","Overseas",-3.21725042688015,"Overseas",-3.26682074827386
"226","P Nissanka","Overseas",8.90118721168288,"Overseas",NA
"227","PA van Meekeren","Overseas",-1.45769944286291,"Overseas",2.84240530635998
"228","PBB Rajapaksa","Overseas",3.58963285167199,"Overseas",NA
"229","PD Salt","Overseas",1.71030386170255,"Overseas",NA
"230","PJ Cummins","Overseas",-1.24206840091865,"Overseas",3.33681214391412
"231","PM Liyanagamage","Overseas",-3.10013700118546,"Overseas",-0.864568259352578
"232","PR Stirling","Overseas",7.5518187204371,"Overseas",NA
