"","Player","Year","Dots","Singles","Twos","Threes","Fours","Sixes","Total_runs","Total_balls","Dismissals","Matches","High_score","Max_strike_rate","Bat_avg","Wining_balls","Country","Batsman_status"
"170","MA Leask",2022,24,23,4,0,7,0,59,52,4,5,17,171.428571428571,14.75,6,"Overseas",1
"171","MA Starc",2022,6,5,3,0,0,0,11,12,2,3,6,150,5.5,7,"Overseas",1
"172","MD Gunathilaka",2022,76,42,9,1,17,7,173,134,15,15,38,225,11.5333333333333,54,"Overseas",1
"173","MD Patel",2022,29,24,5,1,12,3,103,68,4,4,39,246.153846153846,25.75,43,"Overseas",1
"174","MD Shanaka",2022,145,133,26,0,38,21,517,361,17,22,74,235,30.4117647058824,151,"Overseas",1
"175","MG Bracewell",2022,21,13,5,1,10,4,90,48,2,7,61,244,45,47,"Overseas",1
"176","MH Cross",2022,24,13,1,0,8,0,47,40,5,5,28,240,9.4,5,"Overseas",1
"177","MJ Guptill",2022,76,79,7,1,22,8,232,181,10,10,45,218.181818181818,23.2,180,"Overseas",1
"178","MJ Santner",2022,35,31,9,1,11,6,132,88,4,9,77,200,33,63,"Overseas",1
"179","MJ Swepson",2022,0,0,1,0,0,0,2,1,0,1,2,200,2,0,"Overseas",1
"180","MM Ali",2022,128,132,25,1,36,31,515,327,17,22,63,273.684210526316,30.2941176470588,164,"Overseas",1
"181","MO Kain",2022,8,13,2,0,1,0,21,20,4,4,18,105.882352941176,5.25,4,"Overseas",1
"182","MP O'Dowd",2022,181,118,24,2,49,10,427,360,14,15,73,177.777777777778,30.5,267,"Overseas",1
"183","MP Stoinis",2022,58,67,21,1,25,18,379,195,10,13,59,328.571428571429,37.9,112,"Overseas",1
"184","MR Adair",2022,71,50,13,0,15,9,189,139,14,17,37,300,13.5,15,"Overseas",1
"185","MR Marsh",2022,64,48,13,1,16,10,201,140,8,8,45,183.333333333333,25.125,82,"Overseas",1
"186","MRJ Watt",2022,8,10,2,0,4,0,30,21,1,2,17,154.545454545455,30,0,"Overseas",1
"187","MS Chapman",2022,29,28,7,0,10,10,142,78,4,4,83,213.333333333333,35.5,49,"Overseas",1
"188","MS Wade",2022,71,69,26,1,26,8,276,191,6,14,45,233.333333333333,46,110,"Overseas",1
"189","MW Parkinson",2022,6,0,0,0,0,0,0,4,2,2,0,0,0,0,"Overseas",1
"190","Mahedi Hasan",2022,16,19,1,0,5,1,46,36,5,6,22,250,9.2,7,"Overseas",1
"191","Mahmudullah",2022,44,59,12,0,9,4,143,118,7,7,27,183.333333333333,20.4285714285714,7,"Overseas",1
"192","Mehedi Hasan Miraz",2022,47,38,7,4,10,3,122,100,6,6,46,152,20.3333333333333,53,"Overseas",1
"193","Mohammad Boota",2022,4,6,2,0,2,1,24,15,0,3,14,400,8,15,"Overseas",1
"194","Mohammad Haris",2022,32,24,7,0,6,7,104,70,5,5,31,280,20.8,55,"Overseas",1
"195","Mohammad Hasnain",2022,4,5,2,0,1,1,19,13,0,4,8,200,4.75,0,"Overseas",1
"196","Mohammad Nabi",2022,61,53,14,2,13,4,192,159,14,16,43,186.95652173913,13.7142857142857,84,"Overseas",1
"197","Mohammad Naim",2022,20,9,0,0,3,0,21,29,3,3,13,85.7142857142857,7,5,"Overseas",1
"198","Mohammad Nawaz",2022,106,70,23,1,27,12,298,219,17,21,45,225,17.5294117647059,131,"Overseas",1
"199","Mohammad Rizwan",2022,276,371,80,7,78,22,1136,898,22,25,88,172.549019607843,51.6363636363636,576,"Overseas",1
"200","Mohammad Saifuddin",2022,2,4,0,0,0,0,4,6,0,2,3,100,2,0,"Overseas",1
"201","Mohammad Wasim",2022,25,11,0,1,4,0,30,37,3,7,12,125,10,8,"Overseas",1
"202","Mohammed Shami",2022,2,0,0,0,0,0,0,1,1,1,0,0,0,0,"Local",1
"203","Mohammed Siraj",2022,5,1,0,0,1,0,5,6,1,1,5,83.3333333333333,5,0,"Local",1
"204","Mosaddek Hossain",2022,53,67,16,0,15,5,189,142,11,16,48,300,17.1818181818182,52,"Overseas",1
"205","Muhammad Usman",2022,14,13,2,0,1,0,21,28,2,3,17,200,10.5,24,"Overseas",1
"206","Mujeeb Ur Rahman",2022,13,6,0,0,3,1,24,19,4,5,18,138.461538461538,6,0,"Overseas",1
"207","Munim Shahriar",2022,31,10,1,0,5,0,32,42,4,4,17,100,8,27,"Overseas",1
"208","Mushfiqur Rahim",2022,13,15,2,0,4,0,35,31,3,3,30,125,11.6666666666667,0,"Overseas",1
"209","Mustafizur Rahman",2022,3,4,1,1,0,1,15,10,0,3,9,225,5,0,"Overseas",1
"210","N Pooran",2022,192,179,22,1,41,32,582,430,20,22,74,300,29.1,193,"Overseas",1
"211","N Thushara",2022,3,0,1,0,0,0,2,4,0,2,2,200,1,0,"Overseas",1
"212","NK Patel",2022,16,19,6,0,3,2,54,43,2,4,27,141.176470588235,27,3,"Overseas",1
"213","NT Ellis",2022,2,0,0,0,0,0,0,1,1,1,0,0,0,0,"Overseas",1
"214","Najibullah Zadran",2022,101,103,16,3,19,23,358,244,14,17,57,247.058823529412,25.5714285714286,147,"Overseas",1
"215","Naseem Shah",2022,6,2,1,1,1,2,23,10,3,5,14,280,7.66666666666667,8,"Overseas",1
"216","Nasum Ahmed",2022,7,9,2,0,1,0,17,17,2,5,7,200,8.5,2,"Overseas",1
"217","Naveen-ul-Haq",2022,7,5,1,0,1,0,11,14,0,2,10,100,5.5,0,"Overseas",1
"218","Nazmul Hossain Shanto",2022,121,106,19,6,32,3,308,272,10,11,71,154.166666666667,30.8,101,"Overseas",1
"219","Nijat Masood",2022,2,2,1,0,0,0,4,5,0,1,4,80,4,5,"Overseas",1
"220","Noor Ahmad",2022,5,2,1,0,0,0,4,8,0,1,4,50,4,8,"Overseas",1
"221","Nurul Hasan",2022,58,62,13,1,8,10,183,144,7,14,42,208.333333333333,26.1428571428571,56,"Overseas",1
"222","OC McCoy",2022,18,7,1,0,3,1,27,27,2,4,23,153.333333333333,13.5,0,"Overseas",1
"223","OF Smith",2022,44,30,8,0,8,7,120,83,9,14,27,350,13.3333333333333,16,"Overseas",1
"224","OJ Hairs",2022,2,1,0,0,1,1,11,4,2,2,7,400,5.5,0,"Overseas",1
"225","OP Stone",2022,1,0,0,0,0,0,0,0,1,1,0,0,0,0,"Overseas",1
"226","P Nissanka",2022,244,228,45,4,55,15,640,565,22,23,75,185.714285714286,29.0909090909091,271,"Overseas",1
"227","PA van Meekeren",2022,17,10,3,1,6,2,54,36,3,4,24,233.333333333333,18,0,"Overseas",1
"228","PBB Rajapaksa",2022,95,105,21,1,31,12,346,250,14,16,71,238.461538461538,24.7142857142857,148,"Overseas",1
"229","PD Salt",2022,45,65,7,0,28,9,245,143,11,12,88,266.666666666667,22.2727272727273,87,"Overseas",1
"230","PJ Cummins",2022,20,18,4,0,3,2,50,42,4,8,21,400,12.5,15,"Overseas",1
"231","PM Liyanagamage",2022,0,1,0,0,0,0,1,1,0,1,1,100,1,1,"Overseas",1
"232","PR Stirling",2022,226,135,17,2,58,28,596,443,26,27,66,250,22.9230769230769,239,"Overseas",1
"233","PVD Chameera",2022,20,23,2,0,3,1,45,43,5,8,24,250,9,1,"Overseas",1
"234","PWH de Silva",2022,52,37,13,0,18,1,141,108,12,15,36,333.333333333333,11.75,50,"Overseas",1
"235","Parvez Hossain Emon",2022,4,2,0,0,0,0,2,5,1,1,2,40,2,0,"Overseas",1
"236","Q de Kock",2022,98,86,12,0,25,12,281,212,13,14,69,180,21.6153846153846,141,"Overseas",1
"237","Qais Ahmad",2022,4,4,0,0,1,0,8,8,1,1,8,100,8,0,"Overseas",1
"238","R Ashwin",2022,15,21,5,0,3,3,61,44,3,7,15,216.666666666667,20.3333333333333,19,"Local",1
"239","R Klein",2022,1,3,0,0,2,0,11,5,1,1,11,220,11,0,"Overseas",1
"240","R Mutumbami",2022,12,7,2,1,2,1,28,23,2,2,27,135,14,0,"Overseas",1
"241","R Ngarava",2022,12,6,2,0,0,2,31,23,4,6,9,300,7.75,3,"Overseas",1
"242","R Powell",2022,144,134,22,3,23,39,644,400,17,21,107,217.857142857143,37.8823529411765,161,"Overseas",1
"243","R Shepherd",2022,45,30,8,0,3,14,142,94,4,7,44,220,35.5,15,"Overseas",1
"244","RA Jadeja",2022,47,73,11,0,19,5,201,141,4,8,46,264.705882352941,50.25,121,"Local",1
"245","RA Reifer",2022,8,15,2,0,0,0,19,22,1,1,19,86.3636363636364,19,0,"Overseas",1
"246","RD Berrington",2022,25,29,8,1,6,3,90,67,5,5,37,200,18,14,"Overseas",1
"247","RD Gaikwad",2022,38,16,4,0,9,5,90,67,5,5,57,167.647058823529,18,52,"Local",1
